State,Population Density,Per Capita IPC Crimes,Sex Ratio,houseolds Availing bank services,Minority Population,Per Capita Schools,Rural Population,Total Police Per Lakh Pop,Per Capita Jails,Literacy Rate,Per Capita Income,Poverty Line,Murder,Rape,Robbery,Kidnapping,Riots,,Murder,Rape,Robbery,Kidnapping,Riots,Murder,Rape,Robbery,Kidnapping,Riots
Andhra,308,0.00124153,992,53.1,0.1154,0.00125,0.6651088,107,0.000001417,50.47,90366,9.2,7.481702358,4.850624499,2.220690951,3.237041903,2.762691199,,"2,484",1635,709,2119,1994,"33,201",33707,31927,65461,72176
Arunachal,17,0.001653393,920,53,137096,0.00329,0.7732942,550,0.000000723,54.34,37417,3467,0.207825066,0.222505711,0.23491089,0.216923053,0.049878076,,69,75,75,142,36,"33,201",33707,31927,65461,72176
Assam,397,0.00719038,954,44.1,0.3353,0.00157,0.8591961,176,0.000000962,63.25,21406,31.98,4.078190416,5.746580829,2.890970025,7.334137884,3.365384615,,1354,1937,923,4801,2429,"33,201",33707,31927,65461,72176
Bihar,1102,0.00130915,916,94.4,0.1731,0.0007,0.187003,64,0.00000053,47,13632,33.74,10.36414566,3.346485893,4.763992859,8.508883152,16.53042563,,3441,1128,1521,5570,11931,"33,201",33707,31927,65461,72176
Chhattisgarh,189,9.00229031,991,48.8,0.0675,0.00218,0.767561,169,0.000000979,60.66,22156,39.93,2.84629981,4.094105082,1.099382967,3.414246651,1.089004655,,945,1380,351,2235,786,"33,201",33707,31927,65461,72176
Goa,394,0.00136502,968,66.8,0.3392,0.00198,0.3782708,292,0.000002058,82.01,102899,5.09,0.108430469,0.255139882,0.115889373,0.164983731,0.175958767,,36,86,37,108,127,"33,201",33707,31927,65461,72176
Gujarat,308,0.00194312,918,573,0.1143,0.00086,0.5741758,110,0.000000414,6919,52708,16353,3.367368453,2.171655739,4.4758355,4.072653947,2.376136112,,1118,732,1429,2666,1715,"33,201",33707,31927,65461,72176
Haryana,573,0.0021958,377,65.1,0.1254,0.00096,0.6520507,179,0.000000749,67.91,59221,11.16,2.957742237,2.880707271,2.389826792,4.234582423,2.161383285,,982,971,763,2772,1560,"33,201",33707,31927,65461,72176
Himachal Pradesh,121,0.00298736,974,39.1,0.0413,0.00287,0.4995547,200,0.000002042,"76,911",47106,8.06,0.313243577,0.741685703,0.043850033,0.537724752,0.674739526,,104,250,14,352,487,"33,201",33707,31927,65461,72176
Jammu,124,4.00195148,383,70,0.7156,0.00219,0.7279364,541,0.000001116,55.52,27607,10.35,0.451793621,1.121428783,0.272496633,1.501657475,2.37475061,,150,378,87,983,1714,"33,201",33707,31927,65461,72176
Jharkhand,414,0.00108711,997,54,0.3217,0.00134,0.7594723,164,0.000000819,53.56,21734,11.26,4.909490678,3.571958347,1.779058477,1.941614091,3.415262691,,1630,1204,568,1271,2465,"33,201",33707,31927,65461,72176
Karnataka,313,0.00225092,968,61.1,0.16,0.00125,0.614299,138,0.000001669,54,39301,20.91,4.822143911,3.055745097,6.734112193,2.804723423,10.02687874,,1601,1030,2150,1836,7237,"33,201",33707,31927,65461,72176
